field_1,Codigo,Nombre,Elevacion,Lat,Lon,Norte,Este
"189","26135040",AEROPUERTO MATECANA,"1199",4.815861110000000,-75.737222220000007,2090755.446650,4696490.669025
"190","24040060",REMOLINO,"630",6.606111110000000,-73.276111110000002,2287971.961111,4969490.485769
"191","29060100",SANTA ROSA DE LIMA,"75",10.402749999999999,-74.108000000000004,2707743.555832,4878762.109734
"192","29030170",GAMERO,"10",10.200277780000000,-75.201944440000005,2685975.219863,4758866.512421
"193","21110440",GUADUAL EL,"735",2.795666670000000,-75.239277779999995,1867170.776158,4751155.137989
"194","21240030",SAN JUAN DE CHINA,"1980",4.542444440000000,-75.075388889999999,2060266.025220,4769823.818917
"195","28040010",PUEBLO BELLO,"10",10.414638890000001,-73.585027780000004,2708904.923954,4935991.112677
"196","26200150",FREDONIA,"1650",5.936750000000000,-75.685111109999994,2214720.369451,4702817.937413
"197","21035040",LIBANO EL,"145",1.868388890000000,-75.827777780000005,1764733.927405,4685502.858813
"198","21110040",HATO MILAGRO,"548",3.074888890000000,-75.168416669999999,1898029.035705,4759093.432687
"199","26025090",VENTA DE CAJIBIO,"185",2.584750000000000,-76.561833329999999,1844185.382209,4603960.263503
"200","24055040",PALMAR EL,"940",6.549722220000000,-73.292000000000002,2281741.889545,4967731.155068
"201","29050010",TIOGOLLO,"41",10.344416669999999,-74.732111110000005,2701599.437106,4810420.397147
"202","21160170",FIQUE EL,"140",3.709333330000000,-74.790833329999998,1968085.057007,4801187.020726
"203","21200780",POTRERO LARGO,"2780",4.929222220000000,-73.780472219999993,2102722.767429,4913504.010864
"204","24030240",SUSACON,"2550",6.231750000000000,-72.689333329999997,2246606.827611,5034352.919084
"205","21100080",NUEVO PARAISO,"1525",2.615277780000000,-75.206694440000007,1847218.232765,4754741.565833
"206","23080760",SAN ROQUE,"820",6.487500000000000,-75.016999999999996,2275300.516796,4777030.132156
"207","21110120",YEGUERA LA,"400",3.305333330000000,-75.200777779999996,1923516.834267,4755550.915760
"208","25020660",ZAPATOZA,"90",9.009750000000000,-73.754027780000001,2553666.483116,4917154.894860
"209","21110180",HATO BOGOTA,"591",3.036027780000000,-75.159722220000006,1893730.297537,4760051.189737
"210","24030700",COVARACHIA,"2400",6.514750000000000,-72.732944439999997,2277875.877859,5029514.269929
"211","27015190",GUAYABITO,"1440",6.540388890000000,-75.146749999999997,2281207.707955,4762705.361349
"212","23190380",PALMAS,"855",7.211083330000000,-73.217888889999998,2354819.811062,4975954.494394
"213","21210200",BUENOS AIRES,"728",4.335138890000000,-75.073444440000003,2037344.778514,4769975.342699
"214","21010250",HORNITOS,"2222",1.977805560000000,-76.253527779999999,1776924.749947,4638127.461796
"215","21115100",PALACIO-VEGALARGA,"1100",2.942638890000000,-75.066388889999999,1883384.872156,4770405.857648
"216","26080290",MEDIACANOA-ALERTAS,"962",3.890888890000000,-76.350833330000000,1988683.115914,4627927.074730
"217","27010850",AMALFI,"1530",6.905555560000000,-75.077222219999996,2321552.682014,4770565.538546
"218","22065040",SAN ANTONIO QUINTA,"1448",3.906916670000000,-75.488083329999995,1990123.925817,4723801.675298
"219","23085140",SAN FRANCISCO,"1325",5.963805560000000,-75.100694439999998,2217432.211942,4767543.778545
"220","26200130",BOLOMBOLO,"1700",5.967777780000000,-75.842222219999996,2218239.917852,4685433.231505
"221","24030570",APOSENTOS,"2328",6.062083330000000,-72.635333329999995,2227862.354973,5040336.985354
"222","25021600",APURE,"85",9.872500000000000,-74.580388889999995,2649338.211535,4826777.904149
"223","27010770",CHUSCAL EL,"255",6.178333330000000,-75.705083329999994,2241454.967897,4700739.088445
"224","24030840",ANTENA TV RUSIA LA,"3650",5.891638890000000,-73.082388890000004,2209015.727767,4990883.930127
"225","24010110",COMODA LA,"1520",6.076944440000000,-73.469166670000007,2229513.418294,4948105.120216
"226","21040020",ANTENA TV,"2210",2.334027780000000,-75.728472220000000,1816222.255120,4696645.876648
"227","23120050",MUZO,"850",5.534805560000000,-74.101222219999997,2169699.133703,4878070.430919
"228","25020220",ASTREA,"50",9.492944440000000,-73.972888889999993,2607130.586059,4893252.446096
"229","26020160",CATALINA LA,"1441",2.945166670000000,-76.651750000000007,1884116.888007,4594071.869390
"230","26080070",VIJES,"974",3.698527780000000,-76.429722220000002,1967426.205686,4619072.554342
"231","29030780",MAMPUJAN,"60",9.983611110000000,-75.227500000000006,2662031.309281,4755903.286866
"232","21140010",VENADO EL,"584",3.291583330000000,-74.903972220000000,1921928.619527,4788528.461307
"233","21140120",CRUCES LAS,"1400",3.425861110000000,-74.920249999999996,1936776.722832,4786748.995660
"234","21201210",HATO EL,"2575",4.866388890000000,-74.153861109999994,2095838.703889,4872106.519856
"235","24060040",AGUASCLARAS,"132",7.264166670000000,-73.548055559999995,2360716.535821,4939524.692354
"236","23010020",EDEN EL,"1670",5.158388890000000,-75.048916669999997,2128358.872154,4772967.045742
"237","28040360",CABANA LA HACIENDA,"100",9.861000000000001,-74.076722219999994,2647847.485126,4881986.932899
"238","29060560",DONA MARIA,"50",10.384444439999999,-74.177944440000005,2705747.562457,4871100.264307
